T-j0NeMEmzLSeA+oWaNoI/PUu8A4M=,"For the sake of everyone's life, you'd better take a closer look at the recipe before you do it.",为了大家的生命安全，你还是仔细看看配方再做吧。
T-PjyAaLsOe2N8HXAY070qZEyeja0=,Failure,失败
T-H8GvxcVe2MDMKPmXFbU8rOTDcig=,Continue,继续
T-ShcukvadUiq174EVgzgVN4kPwCg=,A special container.,一个特制的容器。
T-9Mwr4IEHq5k1TpADssJ1YXA6u3I=,Special containers,特制容器
T-R1yIykRIRhYl2vyCi5U0Lv4h91c=,An edible plant.,An edible plant.
T-aMup3lauf/JTTo3kc9gJVAWYfZI=,Lemongrass,Lemongrass
T-iIWM4yFolbvPWfdLpgqxCg61SDg=,"Edible, tastes like lemon!","Edible, tastes like lemon!"
T-us5LOmgApf6Qmp9PuHDWZGLfKsA=,Lemon Grass Crop Plot,Lemon Grass Crop Plot
T-PdodtTOP/LdWzSdt9GPQNOItSvo=,Enjoy,享用
T-2X+XVfNmCZdp8+reukp2EcWVCVk=,Eat up!,吃完啦！
T-9gTGicmtA5VMdOlLPEoHmtIv4pc=,A premium stove that produces delicious ingredients.,一处高级炉灶，可以产出美味的食材。
T-0Ji/bhQxkvb075o5HA00sYEtfgo=,Advanced Stove,高级炉灶
Shower_FuelCapacity.CardStatName,Mosquito Protection,Mosquito Protection
Guil-Pot,Add ingredients,放入食材
GuilPot,Advanced Cooking,高级烹饪
T-wTn/hfGiFlNDYJTEtrEJyW8yhT4=,An advanced alchemy station.,一处高级炼金台。
T-PDaUpK1FHa+Qb0wAox8iy4w+87E=,Advanced Alchemy Table,高级炼金台
T-K0bqAvz5KIYT+A4Pw3rtFjxf9ok=,An alchemy table to melt matter.,一个炼金台，可以熔炼物质。
Guil-Alchemy_Refinery,Advanced Alchemy,高级炼金
Guil-ContainerMerger_Refinery,Container merging,容器合并
T-IHTy6p03S3INzTG285W5EGU/zsk=,Spice Products,调料品
T-0ZRNRZJmELjaYBhbbV446v8DPpU=,The currently available recipes are recorded here:,这里记录了当前可用的菜谱：
T-uTkzEGfQjO47T1xpaDx41uUoTEo=,Yummy!,美味！
T-XFdZqo+bxrChd/dXIvpMOJoUMLU=,Assorted Meat Skewers,什锦肉串
T-+N4wOlEa6wBvgCh1Pvv7nh9g1uk=,"It is a famous dish in Fuzhou City, Fujian Province, and belongs to the Min Cuisine family. When the dish is ready, it is soft and tender, rich in meat flavor, and meat but not greasy, with taste in the taste.",又名福寿全，是福建省福州市的一道特色名菜，属闽菜系。成菜后，软嫩柔润，浓郁荤香，又荤而不腻，味中有味。
T-2wEUF/70Dir5xwaHDwqoFe40+PY=,Buddha's jumping wall,佛跳墙
T-GR8IrUu+Ufqo5BL5mFBeaK6uuSk=,Jam made from mangoes,用芒果制成的果酱
T-4it9QGfjNwaK5bEPE2yZbTltPA4=,Mango Sauce,芒果酱
T-Y1DVEXnsTO3S10daowrkVeZCVQE=,"The unique flavor is a must-have dish for wedding banquets, celebrations and festivals in Meizhou, Guangdong.",风味独特，是广东梅州婚宴喜庆及节日必用的名菜。
T-ctnQ6/bngMvMQXVdXiRzf34StgA=,Meat stew,炖肉
T-+dlug7lq5ilfSqjV24JHx5jaEoA=,"It is a food that originated in Italy and is popular all over the world. Pizzas are usually made with a fermented round pastry covered with other ingredients such as tomato sauce, cheese, meat and vegetables and baked in the oven.",是一种发源于意大利的食品，在全球颇受欢迎。比萨饼的通常做法是用发酵的圆面饼上面覆盖番茄酱、奶酪、肉、蔬菜等其他配料，并由烤炉烤制而成。
T-nXVxJ0UtjSPKrAk+MNb5O8gXYZ4=,Pizzas,披萨
T-7eTFUdeefLgM1rfl0HZ0W/k9NQQ=,An unhealthy food from other games,来自其他游戏的一款不健康的食物
T-oiwe/KxE303NqNHGSVihLU7LhX0=,Shanwei Canned Goods,山威罐头
T-hf2oFXr1YN9AAi2Pfiwaf6h4FPI=,A food with snake meat as the main ingredient,一种以蛇肉为主料的食物
T-NaqB8tWR+wRBQcj1/5twNftG5mo=,Snake Soup,蛇羹
T-6gu7riUi1xxS2TQsprsKYZXwVkk=,"Yangzhou fried rice is made with strict selection of ingredients, fine production, careful processing, and attention to color matching. When the fried rice is finished, it is well-defined, loose, soft and hard, colorful, glossy and full, with various ingredients, fresh, smooth, glutinous and delicious.",扬州炒饭选料严谨、制作精细、加工讲究，而且注重配色。炒制完成后，颗粒分明、粒粒松散、软硬有度、色彩调和、光泽饱满、配料多样、鲜嫩滑爽、香糯可口。
T-N1ZXQDXqkkG8WY0VoXxKAKKQHQY=,Yangzhou Fried Rice,扬州炒饭
T-X0J7VoeZpLj65prCxbRDK8CGUK4=,Sago cake coated with mango sauce.,涂有芒果酱的西米饼。
T-f9pg/jwQw9ASChzx3RUa2Z7/yR4=,Mango Sago Cake,芒果西米饼
T-dcoETC1pzDtrLyDvEsRvI0/xOPY=,"It is a characteristic Thai and Laotian soup with a spicy and sour taste. It is also called Dongyan soup and is very common in Thailand. The main ingredients are lemon leaves, lemongrass, and shrimp.",是泰国和老挝的一道富有特色的酸辣口味汤品。也叫作东炎汤，在泰国非常普遍。主要食材有柠檬叶、香茅、虾等。
T-7h7k/rsu/YpkducsTlscvwRfHOg=,Tom Yum Goong Soup,冬阴功汤
